"","CountryCode","Rank","CountryName","GDPA","LongName","IncomeGroup"
"160","SWZ",158,"Swaziland",3744,"Kingdom of Swaziland","Lower middle income"
"152","SLE",157,"Sierra Leone",3796,"Republic of Sierra Leone","Low income"
"164","TGO",156,"Togo",3814,"Republic of Togo","Low income"
"57","FJI",155,"Fiji",3908,"Republic of Fiji","Upper middle income"
"120","MRT",154,"Mauritania",4199,"Islamic Republic of Mauritania","Low income"
"26","BRB",153,"Barbados",4225,"Barbados","High income: nonOECD"
"122","MWI",152,"Malawi",4264,"Republic of Malawi","Low income"
"117","MNE",151,"Montenegro",4373,"Montenegro","Upper middle income"
"156","SUR",150,"Suriname",5012,"Republic of Suriname","Upper middle income"
"23","BMU",149,"Bermuda",5474,"The Bermudas","High income: nonOECD"
"64","GIN",148,"Guinea",5632,"Republic of Guinea","Low income"
"108","MCO",147,"Monaco",6075,"Principality of Monaco","High income: nonOECD"
"95","KSV",146,"Kosovo",6445,"Republic of Kosovo","Lower middle income"
"90","KGZ",145,"Kyrgyz Republic",6475,"Kyrgyz Republic","Low income"
"125","NER",144,"Niger",6773,"Republic of Niger","Low income"
"166","TJK",143,"Tajikistan",6972,"Republic of Tajikistan","Low income"
"146","RWA",142,"Rwanda",7103,"Republic of Rwanda","Low income"
"109","MDA",141,"Moldova",7253,"Republic of Moldova","Lower middle income"
"14","BEN",140,"Benin",7557,"Republic of Benin","Low income"
"75","HTI",139,"Haiti",7843,"Republic of Haiti","Low income"
"19","BHS",138,"Bahamas, The",8149,"Commonwealth of The Bahamas","High income: nonOECD"
"116","MLT",137,"Malta",8722,"Republic of Malta","High income: nonOECD"
"97","LAO",136,"Lao PDR",9418,"Lao People's Democratic Republic","Low income"
"114","MKD",135,"Macedonia, FYR",9613,"Former Yugoslav Republic of Macedonia","Upper middle income"
"189","ZWE",134,"Zimbabwe",9802,"Republic of Zimbabwe","Low income"
"7","ARM",133,"Armenia",9951,"Republic of Armenia","Lower middle income"
"110","MDG",132,"Madagascar",9975,"Republic of Madagascar","Low income"
"118","MNG",130,"Mongolia",10271,"Mongolia","Lower middle income"
"115","MLI",129,"Mali",10308,"Republic of Mali","Low income"
"15","BFA",128,"Burkina Faso",10441,"Burkina Faso","Low income"
"121","MUS",127,"Mauritius",10486,"Republic of Mauritius","Upper middle income"
"127","NIC",126,"Nicaragua",10507,"Republic of Nicaragua","Lower middle income"
"4","ALB",125,"Albania",12648,"Republic of Albania","Upper middle income"
"163","TCD",124,"Chad",12887,"Republic of Chad","Low income"
"124","NAM",123,"Namibia",13072,"Republic of Namibia","Upper middle income"
"82","ISL",122,"Iceland",13579,"Republic of Iceland","High income: OECD"
"37","COG",121,"Congo, Rep.",13678,"Republic of Congo","Lower middle income"
"91","KHM",120,"Cambodia",14038,"Kingdom of Cambodia","Low income"
"149","SEN",119,"Senegal",14046,"Republic of Senegal","Lower middle income"
"119","MOZ",118,"Mozambique",14244,"Republic of Mozambique","Low income"
"29","BWA",117,"Botswana",14504,"Republic of Botswana","Upper middle income"
"85","JAM",116,"Jamaica",14755,"Jamaica","Upper middle income"
"138","PNG",115,"Papua New Guinea",15654,"The Independent State of Papua New Guinea","Lower middle income"
"62","GEO",114,"Georgia",15747,"Georgia","Lower middle income"
"27","BRN",113,"Brunei Darussalam",16954,"Brunei Darussalam","High income: nonOECD"
"187","ZAR",112,"Congo, Dem. Rep.",17204,"Democratic Republic of the Congo","Low income"
"20","BIH",111,"Bosnia and Herzegovina",17466,"Bosnia and Herzegovina","Upper middle income"
"67","GNQ",110,"Equatorial Guinea",17697,"Republic of Equatorial Guinea","High income: nonOECD"
"60","GAB",109,"Gabon",18377,"Gabonese Republic","Upper middle income"
"73","HND",108,"Honduras",18434,"Republic of Honduras","Lower middle income"
"130","NPL",107,"Nepal",18963,"Nepal","Low income"
"175","UGA",106,"Uganda",19881,"Republic of Uganda","Low income"
"2","AFG",105,"Afghanistan",20497,"Islamic State of Afghanistan","Low income"
"188","ZMB",104,"Zambia",20678,"Republic of Zambia","Low income"
"54","EST",103,"Estonia",22390,"Republic of Estonia","High income: nonOECD"
"43","CYP",102,"Cyprus",22767,"Republic of Cyprus","High income: nonOECD"
"170","TTO",101,"Trinidad and Tobago",23320,"Republic of Trinidad and Tobago","High income: nonOECD"
"153","SLV",100,"El Salvador",23864,"Republic of El Salvador","Lower middle income"
"35","CIV",99,"Côte d'Ivoire",24680,"Republic of Côte d'Ivoire","Lower middle income"
"36","CMR",98,"Cameroon",25322,"Republic of Cameroon","Lower middle income"
"142","PRY",97,"Paraguay",25502,"Republic of Paraguay","Lower middle income"
"24","BOL",96,"Bolivia",27035,"Plurinational State of Bolivia","Lower middle income"
"174","TZA",95,"Tanzania",28242,"United Republic of Tanzania","Low income"
"105","LVA",94,"Latvia",28373,"Republic of Latvia","High income: nonOECD"
"18","BHR",93,"Bahrain",29044,"Kingdom of Bahrain","High income: nonOECD"
"86","JOR",92,"Jordan",31015,"Hashemite Kingdom of Jordan","Lower middle income"
"167","TKM",91,"Turkmenistan",35164,"Turkmenistan","Lower middle income"
"185","YEM",90,"Yemen, Rep.",35646,"Republic of Yemen","Lower middle income"
"134","PAN",89,"Panama",36253,"Republic of Panama","Upper middle income"
"154","SRB",88,"Serbia",37489,"Republic of Serbia","Upper middle income"
"89","KEN",87,"Kenya",40697,"Republic of Kenya","Low income"
"63","GHA",86,"Ghana",40711,"Republic of Ghana","Low income"
"55","ETH",85,"Ethiopia",41605,"Federal Democratic Republic of Ethiopia","Low income"
"103","LTU",84,"Lithuania",42344,"Republic of Lithuania","Upper middle income"
"98","LBN",83,"Lebanon",42945,"Lebanese Republic","Upper middle income"
"106","MAC",82,"Macao SAR, China",43582,"Macao Special Administrative Region of the People's Republic of China","High income: nonOECD"
"41","CRI",81,"Costa Rica",45104,"Republic of Costa Rica","Upper middle income"
"158","SVN",80,"Slovenia",45279,"Republic of Slovenia","High income: OECD"
"171","TUN",79,"Tunisia",45662,"Republic of Tunisia","Lower middle income"
"177","URY",78,"Uruguay",49920,"Oriental Republic of Uruguay","Upper middle income"
"70","GTM",77,"Guatemala",50234,"Republic of Guatemala","Lower middle income"
"17","BGR",76,"Bulgaria",50972,"Republic of Bulgaria","Upper middle income"
"179","UZB",75,"Uzbekistan",51113,"Republic of Uzbekistan","Lower middle income"
"104","LUX",74,"Luxembourg",55178,"Grand Duchy of Luxembourg","High income: OECD"
"148","SDN",73,"Sudan",58769,"Republic of the Sudan","Lower middle income"
"48","DOM",72,"Dominican Republic",59047,"Dominican Republic","Upper middle income"
"74","HRV",71,"Croatia",59228,"Republic of Croatia","High income: nonOECD"
"101","LKA",70,"Sri Lanka",59423,"Democratic Socialist Republic of Sri Lanka","Lower middle income"
"21","BLR",69,"Belarus",63267,"Republic of Belarus","Upper middle income"
"11","AZE",68,"Azerbaijan",66605,"Republic of Azerbaijan","Upper middle income"
"42","CUB",67,"Cuba",68234,"Republic of Cuba","Upper middle income"
"132","OMN",66,"Oman",69972,"Sultanate of Oman","High income: nonOECD"
"162","SYR",65,"Syrian Arab Republic",73672,"Syrian Arab Republic","Lower middle income"
"50","ECU",64,"Ecuador",84040,"Republic of Ecuador","Lower middle income"
"157","SVK",63,"Slovak Republic",91149,"Slovak Republic","High income: OECD"
"107","MAR",62,"Morocco",95982,"Kingdom of Morocco","Lower middle income"
"140","PRI",61,"Puerto Rico",101496,"Puerto Rico","High income: nonOECD"
"3","AGO",60,"Angola",114147,"People's Republic of Angola","Lower middle income"
"16","BGD",59,"Bangladesh",116355,"People's Republic of Bangladesh","Low income"
"76","HUN",58,"Hungary",124600,"Republic of Hungary","High income: OECD"
"182","VNM",57,"Vietnam",155820,"Socialist Republic of Vietnam","Lower middle income"
"96","KWT",56,"Kuwait",160913,"State of Kuwait","High income: nonOECD"
"131","NZL",55,"New Zealand",167347,"New Zealand","High income: OECD"
"143","QAT",54,"Qatar",171476,"State of Qatar","High income: nonOECD"
"176","UKR",53,"Ukraine",176309,"Ukraine","Lower middle income"
"144","ROM",52,"Romania",192711,"Romania","Upper middle income"
"44","CZE",51,"Czech Republic",196446,"Czech Republic","High income: OECD"
"88","KAZ",50,"Kazakhstan",203521,"Republic of Kazakhstan","Upper middle income"
"135","PER",49,"Peru",203790,"Republic of Peru","Upper middle income"
"49","DZA",48,"Algeria",205789,"People's Democratic Republic of Algeria","Upper middle income"
"81","IRQ",47,"Iraq",210280,"Republic of Iraq","Lower middle income"
"79","IRL",46,"Ireland",210771,"Ireland","High income: OECD"
"141","PRT",45,"Portugal",212274,"Portuguese Republic","High income: OECD"
"133","PAK",44,"Pakistan",225143,"Islamic Republic of Pakistan","Lower middle income"
"56","FIN",43,"Finland",247546,"Republic of Finland","High income: OECD"
"68","GRC",42,"Greece",249099,"Hellenic Republic","High income: OECD"
"136","PHL",41,"Philippines",250182,"Republic of the Philippines","Lower middle income"
"83","ISR",40,"Israel",258217,"State of Israel","High income: OECD"
"126","NGA",39,"Nigeria",262597,"Federal Republic of Nigeria","Lower middle income"
"51","EGY",38,"Egypt, Arab Rep.",262832,"Arab Republic of Egypt","Lower middle income"
"72","HKG",37,"Hong Kong SAR, China",263259,"Hong Kong Special Administrative Region of the People's Republic of China","High income: nonOECD"
"33","CHL",36,"Chile",269869,"Republic of Chile","Upper middle income"
"150","SGP",35,"Singapore",274701,"Republic of Singapore","High income: nonOECD"
"123","MYS",34,"Malaysia",305033,"Malaysia","Upper middle income"
"47","DNK",33,"Denmark",314887,"Kingdom of Denmark","High income: OECD"
"5","ARE",32,"United Arab Emirates",348595,"United Arab Emirates","High income: nonOECD"
"165","THA",31,"Thailand",365966,"Kingdom of Thailand","Lower middle income"
"38","COL",30,"Colombia",369606,"Republic of Colombia","Upper middle income"
"181","VEN",29,"Venezuela, RB",381286,"República Bolivariana de Venezuela","Upper middle income"
"186","ZAF",28,"South Africa",384313,"Republic of South Africa","Upper middle income"
"10","AUT",27,"Austria",394708,"Republic of Austria","High income: OECD"
"6","ARG",26,"Argentina",475502,"Argentine Republic","Upper middle income"
"13","BEL",25,"Belgium",483262,"Kingdom of Belgium","High income: OECD"
"139","POL",24,"Poland",489795,"Republic of Poland","High income: OECD"
"129","NOR",23,"Norway",499667,"Kingdom of Norway","High income: OECD"
"80","IRN",22,"Iran, Islamic Rep.",514060,"Islamic Republic of Iran","Upper middle income"
"159","SWE",21,"Sweden",523806,"Kingdom of Sweden","High income: OECD"
"32","CHE",20,"Switzerland",631173,"Switzerland","High income: OECD"
"147","SAU",19,"Saudi Arabia",711050,"Kingdom of Saudi Arabia","High income: nonOECD"
"128","NLD",18,"Netherlands",770555,"Kingdom of the Netherlands","High income: OECD"
"172","TUR",17,"Turkey",789257,"Republic of Turkey","Upper middle income"
"77","IDN",16,"Indonesia",878043,"Republic of Indonesia","Lower middle income"
"94","KOR",15,"Korea, Rep.",1129598,"Republic of Korea","High income: OECD"
"112","MEX",14,"Mexico",1178126,"United Mexican States","Upper middle income"
"53","ESP",13,"Spain",1322965,"Kingdom of Spain","High income: OECD"
"9","AUS",12,"Australia",1532408,"Commonwealth of Australia","High income: OECD"
"31","CAN",11,"Canada",1821424,"Canada","High income: OECD"
"78","IND",10,"India",1841710,"Republic of India","Lower middle income"
"84","ITA",9,"Italy",2014670,"Italian Republic","High income: OECD"
"145","RUS",8,"Russian Federation",2014775,"Russian Federation","Upper middle income"
"25","BRA",7,"Brazil",2252664,"Federative Republic of Brazil","Upper middle income"
"61","GBR",6,"United Kingdom",2471784,"United Kingdom of Great Britain and Northern Ireland","High income: OECD"
"58","FRA",5,"France",2612878,"French Republic","High income: OECD"
"45","DEU",4,"Germany",3428131,"Federal Republic of Germany","High income: OECD"
"87","JPN",3,"Japan",5959718,"Japan","High income: OECD"
"34","CHN",2,"China",8227103,"People's Republic of China","Lower middle income"
"178","USA",1,"United States",16244600,"United States of America","High income: OECD"
